date,location,total_rating,speed_small_rating,availability_small_rating,support_small_rating_tab,price_quality_small_rating,headline,summary
07.04.2017 в 08:21,г. Алматы,3,3,3,3,3,"
                    Beeline KZ есть светлая и темная сторона                ","
                    Обещанной скорости от Beeline в 100 Мегабит/c нету и никогда не было. Когда я с мегалайн перешел на билайн скорость первое время была до 50 Мегабит/с, но эта скорость продержалась недолго. Через некоторое время скорость максимум доходила до 20 Мегабит/с. Вызвал их специалиста, он мне объяснил что дело в кабеле и заменил его. После чего он зашел на сайт проверки скорости и показал результат в 50 Мегабит/с. Но подвох в том что эта скорость только внутри нашей страны., а на внешние источники которыми все в основном и пользуются осталась та же не более 20 Мегабит/с. После дискуссий по теме почему Beline обманывают клиентов он ответил что с 2017 Beeline планируют увеличение скорости до 100 Мегабит /с на внешние сервера. ИТОГ: ТАРИФ 100 Мегабит /с имеет фактически максимальную скорость до 50 Мегабит/ НЕ БОЛЕЕ. и то в очень редких случаях. Средняя скорость от 10 до 20 Мегабит /с.                 "
01.04.2017 в 08:55,г. Нур-Султан,1.8,1,3,1,2,"
","
                    Думаю что уже ни для кого ни секрет, что обещанной скорости Beeline в 100 Мегабит/c нету и никогда не было. Я почти год с ними воевал по этому поводу. Когда я с мегалайн перешел на билайн в начале 2016 скорость первые дни была до 30 Мегабит/с, но это счастье продлилось недолго, несколько дней. после чего скорость максимум доходила до 16 Мегабит/с. Вызвал их специалиста, он мне объяснил что дело в кабеле и переделал его. После чего он зашел на сайт проверки скорости и показал ошеломляющий результат в 50 Мегабит/с. Но подвох в том что эта скорость только внутри нашей страны. а на внешние источники которыми все в основном и пользуются осталась так же 16 Мегабит/с. После дискуссий по теме почему Beline обманывают клиентов он ответил что с 2017 Beeline планируют увеличение скорости до 100 Мегабит /с на внешние сервера. ИТОГ: ТАРИФ 100 Мегабит /с имеет фактически максимальную скорость до 30 Мегабит/ НЕ БОЛЕЕ.  и то в очень редких случаях.  Средняя скорость от 8 до 16 Мегабит /с. Сам являюсь специалистом связи и телекоммуникаций и понимаю что большинство населения не разбираются в этом поэтому довольствуются тем что есть и этому рады!                   "
31.03.2017 в 19:15,г. Караганда,1,1,1,1,1,"
                    кошмар полнейший!                ","
                    Интернет пропадает каждую неделю, приезжают монтажники чинить и через дней 5-6 опять пропадает. В месяц дней 4-5 сидишь без интернета в ожидании монтажников. Кошмар короче                 "
16.03.2017 в 15:55,г. Усть-Каменогорск,5,5,5,5,5,"
                    Спасибо                ","
                    Спасибо большое тем кто создал такой сайт.Ваш провайдер OOO Pavlabor очень хорошь в истользование скорость за свою плату он очень даже хорошо. СПАСИБО ВАМ!!!!!!!!!!!
"
07.03.2017 в 19:28,г. Караганда,4.5,3,5,5,5,"
                    Отзыв о провайдере                ","
                    Здравствуйте, провайдер нормальный, но скорость не очень быстрая, цена хороша для такого провайдера, я с города Караганда. Страна Казахстан                 "
24.02.2017 в 12:05,г. Нур-Султан,4.5,5,5,4,4,"
                    Нормальный интернет                ","
                    Качественный и недорогой интернет! скорость интернета в среднем 10 Мбит/сек меня вполне устраивает!                  "
17.02.2017 в 21:12,г. Караганда,3,3,3,4,2,"
                    Beeline уже не тот?                ","
                    Здравствуйте! 
Я сидел на этом провайдере 3 года и мне есть, что вам рассказать. =)
Начнем с 1 дня. При подключении (3 года назад) был пинг под 200(Россия). Через месяц пинг встал на место (70 пинг). Через 1 месяц у меня было знакомство с 3535. Точнее у меня интернет весь день не было, а это оказалась маленькая ошибочка у провайдера. После этого инцидента прошел 1 месяц, как у меня чуть ли не каждую неделю интернет просто так отрубался после чего ко мне приезжали, чтобы все починить. Чинили мне так 2 месяца, после чего я решил потратить на них свои нервы. После этого момента, у меня все было стабильно и без всяких пропусков. 
Через 3 года моей хорошей жизни с этим провайдером (За что бы я мог бы ему дать 5 звезд) у меня пошли проблемы. Советую вчитаться в предложения ниже. 
Переехал я на новое место. И сразу же решил не задумываясь позвонить об переносе интернета. 
(А тут уже будет самое интересное. Как пользователь из 5 звезд превратился в жесткого критика)
(2014г) Пришли, установили СО СВЕРЛОМ и т.д. Провели толстый черный кабель, подключили, даже была проверка на скорость. Все было так, как и задумывалось в моей голове. (Даже поговорить успел (Тогда для меня - это было самое главное)).
(2017г-Январь) Пришел человек с тоненьким белым кабелем, не было сверла (Тогда мне делал дед ремонт, и у него было сверло :D) Я до подачи заявления позвонил заранее и предупредил. что не будет в кв. ПК. Но видимо ""Beeline"" забыли упомянуть. Хорошо, закрыл глаза (Оценка 4 звезд)
Не прошло и месяца, как я заказал новый тарифный план. В сумме 1500 тенге (20гб - лимит) - про лимит я потом узнал. У меня взяли деньги автономно за подключение. Хотел бы заметить, что на новом дизайне сайта было подключение бесплатно (Даже не предупредили про сумму оплаты). Потом я решил перейти на старый тарифный план БЕЗЛИМИТНЫЙ, но как оказалась - эта функция больше не работает у новых пользователей и у тех, кто перешел на другой тарифный план. Сейчас моя скорость ПРИМЕРНО днем: 100кб/с, ночью 240кб/с (Скорость после того, как я исчерпал свой лимит) Вы, скажете ""Ты же сам виноват"". Да, я согласен, но когда я узнал, что всех пользователей старого тарифного плана будут перемещать на новый тарифный план, я просто был в шоке, мое мнение было испорчено. 
Перейдем к оценкам по звездам =)

Доступность: 3 (Это хорошо, что я не рядом с братом живу)
Скорость: 3 (Да дают те самые мегабиты, но после того, как вы преодолеете 20гб, у вас будет инет только на сообщения. )
Служба поддержки: 4 (Были парни которые помогали во всем, а девушки больше всего знали, что можно перезагрузить модем, способом выкл. и вкл. из розетки)
Цена/качество: 2 (Да хорошие цены, но все же качество которое они нам дали, просто ужасное. Я сейчас возможно даже отзыв не смогу отправить) 

Вывод: Я бы поставил не 3 звезды, а 2,5.
Лучше перейти на другого провайдера, что я планирую сделать в ближайшие дни =). Я верил в Beeline, но они захотели деньги.                 "
15.02.2017 в 20:20,г. Алматы,4.5,5,4,4,5,"
                    Интернет дома от Билайн (Казахстан) - 100 Мбит/с                ","
                    Качество связи в принципе устраивает, но почему-то мультимедиа контент, а именно видео в Инстаграмме грузится медленно, а когда переключаюсь на мобильный интернет (4G) загрузка происходит гораздо быстрее.
Качество работы службы поддержки в целом хорошее, но однажды, на мою заявку (о медленной работе интернета) ответили только через несколько дней, когда стабильность восстановилась, но это исключение.
По сравнению с, пожалуй, главным конкурентом (iDNet), качество, стабильность и поддержка в разы лучше.
Не жалею, что в свое время отказался от услуг Казахтелекома в пользу Билайна.                 "
10.02.2017 в 18:20,г. Караганда,2,2,2,2,2,"
                    Ужас!!!                ","
                    Шарагина контора!!!! Интернет постоянно вылетает,звонишь в сервис валят все на мой  роутер да и то если до них дозвонишся разговаривают грубо Хамло!!! Не подключайтесь , а от меня личный салам!!!!                 "
08.02.2017 в 09:19,г. Алматы,2.2,1,2,4,2,"
                    Обещанная скорость по тарифному плану 100мбит/с  фактическая скорость 5мбит/с                ","
                    Качество связи не соответствует заявленному. С таким же успехом можно взять тариф дешевле… если конечно дешевый тариф вообще позволяет выйти в сеть.                 "
07.02.2017 в 23:33,г. Караганда,1.8,1,3,2,1,"
                    Отвратительный интернет                 ","
                    Простите конечно за выражение, но Билайн мобильный интернет самый худший на рынке и это не только по моим личным убеждениям, он практически всех достал своей нестабильностью, постоянные потери и вылеты, резкие скачки, точнее провалы, особенно в онлайн приложениях и играх. Я еще раз хочу повториться, ХУДШИЙ МОБИЛЬНЫЙ ИНТЕРНЕТ! !!! Вы ведь самая на сегодняшний день дорогая связь, по сравнению с вашими конкурентами, неужели у вас нет средств на апгрейд ваших установок и антенн или как еще ваше оборудование можно назвать, не думаю, что вы последний фиг с солью доедаете. Что это за наплевательское отношение к вашим клиентам, потребителям? Большинство давно бы хотели перейти на других операторов связи, но на ваше счастье, это затягивается в виду того, что все как и раньше по накатанной сидят на билайне вашем и переходить сразу затруднительно, но смею заверить, что так же у многих по две сим карты, одна ваша, а другая конкурентов, для интернета. И я вас уверяю, это всего лишь дело времени, все в очень скором просто окажутся от ваших услуг и избавятся от второй сим карты, а вы своим пофигизмом, просто ускоряете ход времени к этому. Экономите, жадничаете, пытаетесь качать деньги, с минимальным затратами, портя тем самым свою репутацию и теряя клиентов. Помоему, да и не только, это очень и очень глупо с вашей стороны! !!! Увольте своих маркетологов и смените жадных и алчных руководителей и уверяю, дело пойдет на поправку, но соответственно нужно будет неплохо потратиться и оно себя окупит во много раз больше! !!!                 "
05.02.2017 в 20:43,г. Павлодар,3.5,4,3,3,4,"
","
                    Хороший интернет с нормальной скоростью для использования и скачивания файлов по доступной цене, легко оплачивается и при оплате пополняется сразу.                 "
31.01.2017 в 18:48,г. Нур-Султан,2.2,2,3,2,2,"
                    Зарекламировались                ","
                    Скорость интернета падает вечерами из-за подключения множества людей, т. к. народу насобирали своей рекламой, а нагрузку проигнорировали…                 "
22.01.2017 в 06:53,г. Павлодар,1.8,4,1,1,1,"
                    Скатились на нет                ","
                    Все началось с того, что они позвонили с предложением подключиться к ним, на что я конечно согласился, так как давно хотел попробовать хваленый билайн. Мы договорились на дату установки и к этому числу я отказался от казактелекома. Разумеется они не пришли и протянули, 2 месяца!!! 2 месяца ругани и отсутствия интернета в квартире. Ладно это недоразумение я пережил, затем спустя время начались разрывы каждые 15 минут стабильно рвалось соединение, что было отлично видно в личном кабинете. По этой проблеме они отникивались до последнего ссылаясь что проблемы на моей стороне, хотя это было очевидно что нет. Несколько раз интернет и вовсе отсутствовал. И что же дальше спросите вы? Серые айпи!!! Да, вот так без предупреждения они поставили серые айпи и все мои dyndns ушли в оффлайн, потомучто не пробросишь теперь порты, это было последнее терпение.                 "
18.01.2017 в 08:26,г. Караганда,2.2,3,2,2,2,"
                    Провайдер кошмарный!                ","
                    Месяц не было интернета, заставили купить роутер.
Сообщения на телефоне(Whats App) приходят через 4-10 мин                 "
12.01.2017 в 12:21,г. Павлодар,5,5,5,5,5,"
","
                    Интернет очень быстрый хорошо идёт загрузка спасибо BeelineKZ за своё существование. С любовью твой Павлодар.                 "
23.12.2016 в 21:24,г. Алматы,1,1,1,1,1,"
","
                    Интернет от Билайн полный отстой. Подключил безлимит на год. За что заплатил — непонятно. Скорость просто смешная, грузит страницы по 2-5 мин или вообще, просто сбрасывает соединение. Последние несколько дней вообще непонятно, что там творится ибо интернета просто нет — он умер. Наверное у них там атомная бомба взорвалась. Просьба — «Билайн», убейся об стену, ибо качество твоего интернета невыносимо!                 "
21.12.2016 в 07:05,г. Алматы,4.8,5,5,5,4,"
                    Провайдер Beeline KZ                ","
                    Мне очень нравится мой рабочий интернет-провайдер «Beeline KZ». У нас тут 8 компьютеров подключены к одному роутеру, и у всех интернет просто летает, я живу в Казахстане, и у нас это не самый распространенный интернет-поставщик, не знаю… к лучшему это или нет, но факт в том, что я еще не разу не был разочарован в именно этом провайдере, дома у меня провайдер «казахтелеком», интернета либо нет, либо есть, но на столько вялый… а еще и каждый день звонят, и предлагают мне новые тарифы по космическим ценам. Вот так обстоят дела с интернет-поставщиками в Казахстане                 "
19.12.2016 в 19:36,г. Костанай,2.8,1,5,3,2,"
                    фигня                ","
                    интернет полнейшая лажа, подключен у меня он уже как года 2 и если раньше было нормально то сейчас скорости вообще нет, ничего не грузит, вылетает, это ужас, отключаюсь с этого месяца перехожу на другой. И вам не советую пользоваться билайном                 "
16.12.2016 в 17:24,г. Алматы,1,1,1,1,1,"
                    Надоело.                ","
                    Я подключен к этому интернету с 2012 года и раньше меня все устраивало. Где-то до лета 2016, когда началась полнейшая дичь. Постоянные разрывы, мизерная скорость, потери пакетов. 
Не знаю, чем они там занимаются, но в последнее время использовать его просто невозможно. Вечером скорость на внешние ресурсы падает неизбежно, потери пакетов до 20-30%, разрывы по приколу.
Я даже понять не могу, как можно брать деньги за такое, 2016 год на дворе.
У меня Мегалайн по старому телефонному проводу раньше работал стабильнее, чем это недоразумение.
Уйду от них в самое ближайшее время.                 "
15.12.2016 в 13:26,г. Атырау,1,1,1,1,1,"
","
                    Купил по акции 4g wi-fi роутер с годовым безлимитом.Скорость низкая, соединение сбрасывается даже на сайт билайна заходит не с первой попытки. Домашнюю страницу тоже грузит долго. Ихний 3g юсб модем работает гораздо шустрее! Раньше пользовался алтел. Небо и земля.                 "
14.12.2016 в 14:59,г. Шымкент,1,1,1,1,1,"
                    Зае....ли                ","
                    Скорость 1. 56 при заявленной 10 Мб. Звонят перейдите на другой тариф там скорость будет вообще космос и будете платить не много дороже. Эти черти обещанного не обеспечивают как им верить. Ну перейду на тариф, а там такое же. Звонить на 3535? Там сидит попка, которая получает зарплату и отвечает звученными фразами типа «Установите Билайн хелпер» отключите кабель от роутера.                 "
12.12.2016 в 22:47,г. Шымкент,1.5,1,3,1,1,"
                    Пожалуй самый худший интернет                ","
                    Всё время лагает, ночью, а то и вовсе отключается!
В тех. поддержку дозвониться вообще нереально.
Не стоит подключать                 "
11.12.2016 в 21:08,г. Алматы,1.2,1,1,2,1,"
                    буду переходить на idnet                ","
                    достали, одним словом скоростным интернетом, хочется свалить побыстрее. Скорость, если точнее от 100кб до как им понравится                 "
09.12.2016 в 18:27,г. Нур-Султан,1.2,1,1,1,2,"
                    Интернет дома от Билайн                 ","
                    Не в коем случае не подключайтесь к интернету Билайн, днем работает без проблем вечером скорость ужасная. До тех.подержки не дозвониться, сервис ужасный. Пробую сменить оператора.                 "
08.12.2016 в 21:13,г. Шымкент,2.2,2,4,1,2,"
                    В начале всё было нормально...                ","
                    В начале всё было нормально, но после года пользования интернета всё скатилось. То постояные разырывы каждый вечер, то по проводу скрыши вода текла к модему (!!!), монтёров ждали неделю, хотя обещали 3 дня максимум, когда спустя неделю пришёл в каалцентр, сказали что я САМ им позвонил и снял заявку! В общем сижу на билайне только из-за того что нет альтернативы, есть IDnet, но там всё ещё хуже и дороже                 "
06.12.2016 в 20:40,г. Алматы,1,1,1,1,1,"
","
                    Кол центр это 7 кругов ада пока к ним попадешь устанешь звонить.
Вечером скорость отвратительная, 100% буду от них уходить                 "
06.12.2016 в 20:28,г. Нур-Султан,1,1,1,1,1,"
                    Никогда не подключайте Билайн Интернет Дома!!!                ","
                    Просто в одном из центральных городов Казахстана интернет в центре города не могли починить целых 19 дней КАРЛ!!! Причина была в том, что ремонтники когда чинили коммутатор просто ПОЛЕНИЛИСЬ подключить абонентов обратно!!!
Им всем насрать на то что у тебя нет интернета! Ты главное заплати деньги!
Еще тем кто играет онлайн или слушает вебинары на дому, ни в коем случае не подключайте, интернет просто пропадает каждые 10-15 минут, и снова резко восстанавливается. При просмотре фильма это не так заметно, но когда слушаешь лекцию онлайн или играешь с друзьями в самый неподходящий момент интернет слетает (проиграл матч или прослушал важное правило)
Служба поддержки работает из рук вон плохо:
Когда звонишь подключиться к услуге оператор отвечает на звонок буквально за минуту (засекал и перепроверял несколько раз), но вот когда звонишь по другим вопросам тебе надо подождать минимум 15 минут при этом тебя информируют каждую минуту через сколько тебя обслужат (КАК ОНИ МОГУТ ЗНАТЬ КОГДА ОСВОБОДИТСЯ ОПЕРАТОР ОТ ПРЕДЫДУЩЕГО КЛИЕНТА?!!) и надо отдать им должное никогда не ошибались, как будто там сидят с таймерами несколько операторов и глядя на приближающийся к 0 таймер комментировать:«О! Неужели и у него терпения хватило.»
Но все это хотя бы дает возможность высказать свои претензии к качеству связи и т. д.
Видимо я им надоел постоянными жалобами на отсутствие интернета (19 дней все-таки не было, успел надоесть) они сделали проще, каждый раз когда я звоню со своего номера телефона в службу поддержки звучит одна и та же фраза:«Извините все линии связи заняты перезвоните попозже.» При этом параллельно звонит мой коллега у которого тоже Билайн интернет дома и вуаля! дозванивается до 15 минутной рекламы с последующим общением с оператором. Выводы по этому поводу делайте сами. В общем не советую и не рекомендую. Лучше пусть медленнее скорость, но зато стабильно и без нервотрепок со Службой поддержки.                 "
06.12.2016 в 19:34,г. Нур-Султан,1,1,1,1,1,"
                    Садат Жайлаубаев                ","
                    Интернет постоянно прерывается, а по вечерам скорости не хватает банально посмотреть фильм. При жалобах в поддержку отвечают заученными фразами, зачитывают один и тот же алгоритм действий даже не вдумываясь в суть проблемы.                 "
06.12.2016 в 19:31,г. Уральск,2.2,1,3,3,2,"
                    Совсем плохой интернет дома от билайна                ","
                    Использую тариф Навсегда 40. Скорость вечерами, очень часто, ужасная на уровне 3g — 0,2-0,5 Мбит/с. Днем скорость хорошая, но мне нужен нормальный интернет, а не эта черепаха с костылями.                 "
06.12.2016 в 18:41,г. Алматы,1,1,1,1,1,"
                    не интернет а тормоз                ","
                    Это самый дохлый интернет в Алматы, никогда не подключайтесь. Скорость 256kb это просто смешно 21 век на дворе, подключился называется к 40mb… если дозвонишься до службы поддержки ответ один, мы скорость не ограничиваем, высылал скины с теста скорости, нифига умные блин заставляют тестить на своем серваке, ну еще бы он у них не показывал хороший отклик, интернет странички грузятся по пол часа… скорость уних «нормальная», я уже не говорю про видео на Ютюбе. Вся услуга Интернет Дома от beeline, рассчитана на выгребании денег и все. Вызвал мастеров чтобы они сами убедились, через месяц мне позвонили c beeline спросили — «у вас скорость не увеличилась…» ну нормально вообще=)? Не рекомендую не кому, пользоваться данной услугой.                 "
01.12.2016 в 22:54,г. Алматы,1,1,1,1,1,"
                    очень плохой интернет.                 ","
                    скорость 7 мбит. иногда 10 мбит. каждый 2-ой день выбрасывает через каждые 30 минут. после оформления заявки на ремонт через 4 дня звонит технический отдел, только чтобы сказать, что заявка передана к монтажникам. через 3 дня придут монтажники.  если самому каждый день не звонить никто заявку не исполняет. дозвониться в колл-центр можно только в течение 20 минут, что сильно раздражает.  смогут ли изменить скорость с 7 мбит  на 100 обещанных мбит.. еще не известно .  перехожу назад в  мегалайн.  прощайте.                 "
30.11.2016 в 16:03,г. Алматы,1,1,1,1,1,"
                    гавно                ","
                    отвратительно работает. очень напрягает колл центр по номеру 3535. никогда не дозвонить, вечно приходится слушать какую то ерунду рекламную, после 5 минут прослушивая, тебе говорят "" все линии перегружены"" и сбрасывается. интернет живет своей жизнью, хочет пашет хочет нет. в общем ребята не советую. кошмарный провойдер. буду переходить на что нибудь другое. ерунда а не интернет, если меня кто нибудь читает из этой компании - знайте ""вы работаете в команде плохой""                 "
29.11.2016 в 19:33,г. Нур-Султан,1,1,1,1,1,"
                    Не советую, полнейшая...                ","
                    Перешёл с id net, на билайн полнейший ****, вылетает каждый день, фильмы не грузится, твитч на качестве мобильный и то иногда, ютуб тоже висит, на 4g вылетает постоянно, даже музыку не скачать, соц сети не грузят, алтел прекрасно работал, всё перехожу на мегалайн, не советую оценка -999 из 10, лучше за 5500 ид нет чем мучиться каждый день, и алтел подключить.
P. S. накипело                 "
22.11.2016 в 13:51,г. Павлодар,3.8,3,4,4,4,"
                    Хорошая работа                ","
                    Интернет работает нормально, но не отлично. Да бывают вылеты и упадок скорости. Но так все отлично. Спасибо вам!                 "
22.11.2016 в 09:32,г. Алматы,1,1,1,1,1,"
                    beeline интернет дома                ","
                    Интернет от Билайна УЖАСЕН! Проблемы начались почти сразу после подключения, вечером когда все собираются дома и подключаются к WiFi модем тупо сбрасывает подключение, первое что подумал - ""гонит"" модем, купил новый поменял (кстати первый тоже новый был), проблема осталась. Решил что видимо вечером нагрузка большая, хотя Я ПЛАЧУ ЗА КРУГЛОСУТОЧНЫЙ ИНТЕРНЕТ, а нет днем такая же ерунда.

Не подключайте Билайн!!!!                 "
17.11.2016 в 19:50,г. Алматы,1.5,1,3,1,1,"
                    пожалел уже раз 1000 что ушел с мегалайна на вот это                ","
                    первые месяца 3 было нормально,затем вылеты начались,2-4 сек.,у меня тарелка через него работает,так вот она виснет сразу,ноут это проглатывает,единственное ,что если в онлайн игре то вылет обеспечен,после дозвона оператору(это чудо),мне посоветовали выключить модем из сети,и на ночь отключать его совсем!!!!!Дальше,стало ещё хуже,вылеты участились,звоню в офис местный по телефону 39570,мне говорят типо мы в курсе этой проблемы,она по всей области,до конца ноября исправить постараемся!!!!!КОШМАР !!!!у меня проблемы с нетом по ихней вине уже две недели,и ещё терпи это до конца месяца !!!!и такие проблемы у всех кто сидит на билайн дома,кто на МЕГАЛАЙНе,нет и не слышали о таких проблемах!!!!ТАК ЧТО,ДЕЛАЙТЕ ВЫВОДЫ ГОСПОДА,И МОЙ ВАМ СОВЕТ,БЕРЕГИТЕ НЕРВЫ,ПОДКЛЮЧАЙТЕСЬ К МЕГАЛАЙНу,А билайн обходите стороной,не будте такими же идиотами как и мы !!!!УДАЧИ !!!                 "
12.11.2016 в 10:14,г. Семипалатинск,1,1,1,1,1,"
                    Отстой полнейший!!                ","
                    Всем Привет!! Не вздумайте подключаться к этой фигне!!!! Скорости нет, пинг ужасный, мастера после заявки приходили и сказали что ничего не  могут сделать. Оборудование плохое и все такое!! Буду уходить на Казахтелеком!! Идиоты одним словом!!!                 "
12.11.2016 в 09:04,г. Актобе,2.2,2,3,1,3,"
                    Интернет Дома от Билайн                ","
                    Полная фигня! Постоянные неполадки, в службу дозвонится сложно, подал претензию через их офис сказали ответ будет в течении 2 недель а прошло уже 3 месяца..по факту скорость интернета через вай фай в 4 раза меньше..разочарован сильно, сейчас подал заявку на ID Net , посмотрим что там будет!                 "
11.11.2016 в 19:37,г. Алматы,3,1,2,4,5,"
","
                    интернет последнее время все медленнее и медленнее, что 40 мб/с он не выдает браузер долго загружается
"
10.11.2016 в 10:48,г. Алматы,3.8,4,4,3,4,"
                    Неплохой оператор                ","
                    Приехал в Казахстан купил симку местного оператора Beeline что па радовало 4G, 5 гб дневного и 7 ночного трафика и звонки внутри сети бесплатно + 3 часа на других операторов и всего чуть меньше 500 рублей. Интернет мобильный быстрей чем в моём родном Омске, там у нас даже Youtube не посмотреть.                 "
08.11.2016 в 18:54,г. Павлодар,1,1,1,1,1,"
                    самы медлленный интернет                ","
                    обслуживание никакое, нет возможности качественно обслуживать. дозваниваешся минут 30-40 и еще после дозвона тебе говарят жди звонка тех специалиста. пользуюсь от безвыходности                 "
08.11.2016 в 13:01,г. Лисаковск,1.2,1,2,1,1,"
                    Что случилось?                ","
                    Мой тариф New Навсегда 100, подключил около 2 лет назад и все бы замечательно, и скорость при использовании браузера, и скорость для игр онлайн, но что-то случилось с ноября этого года, вечером скорость падает до 1мб. что случилось?                 "
05.11.2016 в 16:41,г. Алматы,1,1,1,1,1,"
                    Отстойная связь!                 ","
                    Вам платят деньги,а вы не вкладываете в улучшение качества связи.Как только перестаешь вәм платить, так сразу начинаются звонки'почему не пользуетесь интернетом,может вас не устраивает тариф и т.да. ' что за чушь... до операторов не дозвониться, а если вдруг сорвал Джекпод,то они принимают заявку для тех отдела и дальше никаких действий... Уверенность в том что тех. отдел позвонит -ноль!А ну да есть еще платный контекст...там быстрее все происходит. Хочу сказать что мы отдаем свои деньги за ужасный сервис,ужасные услуги.

"
03.11.2016 в 15:07,г. Актобе,5,5,5,5,5,"
                    Замечательно                ","
                    Переключился с Мегалайна на Билайн еще в 2011 году, и вот уже 5 лет кайфую. Скорость, качество интернета, адекватная поддержка, ремонтные работы проходят быстро, удобство оплаты, и идеальное соотношение цена-качество. Комментаторам внизу советую не путать мегаБИТЫ и мегаБАЙТЫ, это совершенно разные вещи. Заявленная скорость полностью соответствует.                 "
01.11.2016 в 20:08,г. Алматы,1,1,1,1,1,"
                    Отвратительный интернет!                ","
                    Как подключился вечные падения скорости, о заявленных 40 мгб. и речи быть не может максимум от1 до5 мгб. Ужаснейший интернет из всех, обращаться в службу поддержки бесполезно, единственный ответ(если дозвонитесь) - ""у нас все впрорядке мы вас никак не ограничиваем"", оставлял заявку 10 раз, ни разу не перезвонили, не говоря уже о том что бы мастер пришел, видео на youtube не могу даже посмотреть. В общем, не советую этого оператора!                 "
